,task_id,photo_id,photo_type,segment_num,segment_type,segment_value
0,c6a24494_7931_4ca9_a148_f1fd9785b607,1012473,УФ,0,Свечение,Насыщенное
1,c6a24494_7931_4ca9_a148_f1fd9785b607,1012473,УФ,1,Свечение,Отсутствует
2,cfb8e7b2_7c98_4bd4_897d_0e5e95801bc9,1016625,УФ,0,Свечение,Карбонатное
3,a9d8f546_9046_46ce_ba17_abda344a0980,1013361,УФ,0,Свечение,Карбонатное
4,eb09a8aa_6c77_41de_8489_f5a390c789e8,1016727,УФ,0,Свечение,Карбонатное
5,d9d6afc4_a213_4ae7_b86f_05d6c99457ef,1003985,УФ,0,Свечение,Карбонатное
6,d9d6afc4_a213_4ae7_b86f_05d6c99457ef,1003985,УФ,1,Свечение,Отсутствует
7,d9d6afc4_a213_4ae7_b86f_05d6c99457ef,1003985,УФ,2,Свечение,Карбонатное
8,e81388bd_c9f5_4164_9035_984ee3630ae5,1015963,УФ,0,Свечение,Отсутствует
9,e8f67b1c_6869_4148_9b90_f785374027dd,1014063,УФ,0,Свечение,Карбонатное
10,e8f67b1c_6869_4148_9b90_f785374027dd,1014063,УФ,1,Свечение,Насыщенное
11,5cdaca5f_3211_4289_84ba_ddecba591c78,1000451,УФ,0,Свечение,Отсутствует
12,ec614e36_c200_479d_8074_bde895a0a6dc,1008063,УФ,0,Свечение,Отсутствует
13,f32f25a4_91e1_41eb_b809_89c929206952,1010519,УФ,0,Свечение,Карбонатное
14,565a7ed3_d7c1_489e_b18f_99437702745f,1013439,УФ,0,Свечение,Карбонатное
15,565a7ed3_d7c1_489e_b18f_99437702745f,1013439,УФ,1,Свечение,Отсутствует
16,565a7ed3_d7c1_489e_b18f_99437702745f,1013439,УФ,2,Свечение,Карбонатное
17,d22481df_15e5_49f6_b058_0b20547ed84e,1000447,УФ,0,Свечение,Отсутствует
18,b9eac002_e553_4e62_8b4a_573e316de2f1,1008147,УФ,0,Свечение,Отсутствует
19,b9eac002_e553_4e62_8b4a_573e316de2f1,1008147,УФ,1,Свечение,Карбонатное
20,bbfd52a9_7f7b_4ea2_803b_c782a8a745c0,1010249,УФ,0,Свечение,Отсутствует
21,ddcc3b63_3cb3_48b2_a9e3_f6f99758b254,1009739,УФ,0,Свечение,Карбонатное
22,ddcc3b63_3cb3_48b2_a9e3_f6f99758b254,1009739,УФ,1,Свечение,Насыщенное
23,5e4b4cc3_1042_4dbc_8424_a3f2988b6ab9,1016691,УФ,0,Свечение,Карбонатное
24,8b9191f7_af81_440c_9988_6a0388e30b00,1008137,УФ,0,Свечение,Карбонатное
25,e7095781_071b_4d76_be4f_00a02f7057e4,1001471,УФ,0,Свечение,Отсутствует
26,e7095781_071b_4d76_be4f_00a02f7057e4,1001471,УФ,1,Свечение,Карбонатное
27,67d4ac36_fb83_4fc3_bfd4_1d4c79872dba,1001123,УФ,0,Свечение,Насыщенное
28,e7720fff_f5ec_474f_9240_e940726560b2,1014283,УФ,0,Свечение,Насыщенное
29,f22828ac_fe7b_4398_a6b7_b236465b4a87,1009725,УФ,0,Свечение,Насыщенное
30,c4ea7f46_04f7_4494_ab3d_50dccee81870,1001567,УФ,0,Свечение,Отсутствует
31,0f4d7c74_625b_4a5e_8339_57f6c4e0864e,1000071,УФ,0,Свечение,Отсутствует
32,141ae225_e166_44c3_aa0b_767141a9c93d,1010345,УФ,0,Свечение,Отсутствует
33,14646105_3eae_48ef_bf3a_5d3e13305a97,1006679,УФ,0,Свечение,Отсутствует
34,14646105_3eae_48ef_bf3a_5d3e13305a97,1006679,УФ,1,Свечение,Карбонатное
35,14646105_3eae_48ef_bf3a_5d3e13305a97,1006679,УФ,2,Свечение,Отсутствует
36,14646105_3eae_48ef_bf3a_5d3e13305a97,1006679,УФ,3,Свечение,Карбонатное
37,168bee6a_60e1_457d_a018_87e4294addae,1017677,УФ,0,Свечение,Отсутствует
38,1d147497_ec8e_4510_9625_76a63ef69dfb,1002625,УФ,0,Свечение,Отсутствует
39,1d147497_ec8e_4510_9625_76a63ef69dfb,1002625,УФ,1,Свечение,Карбонатное
40,1d2961fe_4ec5_4ae0_9400_158b9c9e31c5,1016127,УФ,0,Свечение,Отсутствует
41,24d4c6b5_42ad_4bee_b54f_b99232d970cf,1006109,УФ,0,Свечение,Насыщенное
42,24d4c6b5_42ad_4bee_b54f_b99232d970cf,1006109,УФ,1,Свечение,Насыщенное
43,24d4c6b5_42ad_4bee_b54f_b99232d970cf,1006109,УФ,2,Свечение,Отсутствует
44,34fdb4b0_d5c0_42c9_bf76_303e156b5337,1006829,УФ,0,Свечение,Насыщенное
45,34fdb4b0_d5c0_42c9_bf76_303e156b5337,1006829,УФ,1,Свечение,Насыщенное
46,34fdb4b0_d5c0_42c9_bf76_303e156b5337,1006829,УФ,2,Свечение,Отсутствует
47,34fdb4b0_d5c0_42c9_bf76_303e156b5337,1006829,УФ,3,Свечение,Насыщенное
48,34fdb4b0_d5c0_42c9_bf76_303e156b5337,1006829,УФ,4,Свечение,Отсутствует
49,3fec452a_4702_4ef5_bc1c_8f3ef213ca8d,1012909,УФ,0,Свечение,Насыщенное
50,41bf363d_6347_4c96_9b9e_268b7e14297f,1000035,УФ,0,Свечение,Отсутствует
51,457ac0a4_81c5_4b7d_9b85_2b021f1b34b0,1005447,УФ,0,Свечение,Отсутствует
52,46adcb01_4f8d_43b8_a28a_31089b3e04f3,1005443,УФ,0,Свечение,Отсутствует
53,4ab6aa28_989c_4b61_82f9_4df44514346e,1004805,УФ,0,Свечение,Насыщенное
54,4ab6aa28_989c_4b61_82f9_4df44514346e,1004805,УФ,1,Свечение,Отсутствует
55,4ab6aa28_989c_4b61_82f9_4df44514346e,1004805,УФ,2,Свечение,Насыщенное
56,4c9b724b_04a5_4eab_8274_76f342ca1190,1013485,УФ,0,Свечение,Отсутствует
57,4d8bc52c_ed36_4526_a640_53371eff0d85,1000027,УФ,0,Свечение,Отсутствует
58,5023760b_a1d6_43c5_8b66_1f5270800de8,1001945,УФ,0,Свечение,Отсутствует
59,5443b57e_da8f_4951_b648_2fbb0f956a52,1006997,УФ,0,Свечение,Отсутствует
60,5713f8b2_9f41_40cc_aaa0_4cab0babf67a,1000237,УФ,0,Свечение,Отсутствует
61,587770b5_777f_46c8_9a21_fae23ca9051d,1005377,УФ,0,Свечение,Отсутствует
62,58d484d5_8e69_4853_a54c_9d10101aec1f,1004101,УФ,0,Свечение,Отсутствует
63,6291c044_0799_4255_b6cc_46244a78fede,1008101,УФ,0,Свечение,Отсутствует
